corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vmw8.0,1491,1668,_stage,1577,1581,York,york
qd,vmw8.0,1491,1668,_stage,1583,1589,Eduard,eduard
qd,vmw8.0,1491,1668,_stage,1591,1598,Richard,richard
qd,vmw8.0,1491,1668,_stage,1600,1607,Norfolk,norfolk
qd,vmw8.0,1491,1668,_stage,1609,1617,Montague,montague
qd,vmw8.0,1491,1668,_stage,1619,1626,Warwick,warwick
qd,vmw8.0,1672,1722,warwick,1681,1685,Mich,warwick
qd,vmw8.0,1727,2086,york,1843,1857,Northumberland,northumberland
qd,vmw8.0,1727,2086,york,1956,1964,Clifford,clifford
qd,vmw8.0,2092,2304,eduard,2116,2121,Vater,vater
qd,vmw8.0,2092,2304,eduard,2185,2188,Ich,eduard
qd,vmw8.0,2092,2304,eduard,2249,2254,Vater,vater
qd,vmw8.0,2320,2349,_stage,2323,2327,York,york
qd,vmw8.0,2310,2442,montague,2433,2436,ich,montague
qd,vmw8.0,2448,2525,richard,2498,2502,mich,richard
qd,vmw8.0,2448,2525,richard,2517,2520,ich,richard
qd,vmw8.0,2530,2632,york,2537,2544,Richard,richard
qd,vmw8.0,2530,2632,york,2568,2574,meinen,york
qd,vmw8.0,2530,2632,york,2623,2631,Somerset,somerset
qd,vmw8.0,2695,2751,richard,2713,2716,ich,richard
qd,vmw8.0,2757,3098,warwick,2771,2774,ich,warwick
qd,vmw8.0,2757,3098,warwick,2799,2804,Prinz,prinz
qd,vmw8.0,2757,3098,warwick,2809,2813,York,york
qd,vmw8.0,2757,3098,warwick,2820,2823,ich,warwick
qd,vmw8.0,2757,3098,warwick,2913,2916,ich,warwick
qd,vmw8.0,2757,3098,warwick,2931,2934,ich,warwick
qd,vmw8.0,2757,3098,warwick,3037,3041,York,york
qd,vmw8.0,3104,3201,york,3119,3122,mir,york
qd,vmw8.0,3104,3201,york,3128,3132,mein,york
qd,vmw8.0,3104,3201,york,3133,3140,Warwick,warwick
qd,vmw8.0,3104,3201,york,3146,3149,ich,york
qd,vmw8.0,3271,3373,york,3291,3298,Norfolk,norfolk
qd,vmw8.0,3271,3373,york,3313,3316,mir,york
qd,vmw8.0,3271,3373,york,3359,3362,mir,york
qd,vmw8.0,3763,3954,warwick,3845,3849,York,york
qd,vmw8.0,3960,4067,york,3988,3992,mich,york
qd,vmw8.0,3960,4067,york,4027,4033,meinem,york
qd,vmw8.0,3960,4067,york,4046,4049,ich,york
qd,vmw8.0,4073,4516,warwick,4184,4191,Warwick,warwick
qd,vmw8.0,4073,4516,warwick,4242,4245,ich,warwick
qd,vmw8.0,4073,4516,warwick,4291,4298,Richard,richard
qd,vmw8.0,4326,4378,_stage,4326,4333,Warwick,warwick
qd,vmw8.0,4326,4378,_stage,4340,4344,York,york
qd,vmw8.0,4400,4516,_stage,4416,4424,Clifford,clifford
qd,vmw8.0,4400,4516,_stage,4426,4440,Northumberland,northumberland
qd,vmw8.0,4400,4516,_stage,4442,4454,Westmoreland,westmoreland
qd,vmw8.0,4400,4516,_stage,4456,4462,Exeter,exeter
qd,vmw8.0,4523,4887,könig_heinrich,4747,4761,Northumberland,northumberland
qd,vmw8.0,4523,4887,könig_heinrich,4777,4782,Vater,vater
qd,vmw8.0,4523,4887,könig_heinrich,4803,4811,Clifford,clifford
qd,vmw8.0,4893,4956,northumberland,4915,4918,ich,northumberland
qd,vmw8.0,4893,4956,northumberland,4940,4943,mir,northumberland
qd,vmw8.0,4961,5019,clifford,5002,5010,Clifford,clifford
qd,vmw8.0,5024,5138,westmoreland,5084,5087,Mir,westmoreland
qd,vmw8.0,5024,5138,westmoreland,5114,5117,ich,westmoreland
qd,vmw8.0,5144,5199,könig_heinrich,5186,5198,Westmoreland,westmoreland
qd,vmw8.0,5204,5387,clifford,5265,5270,Vater,vater
qd,vmw8.0,5204,5387,clifford,5300,5304,Mein,clifford
qd,vmw8.0,5204,5387,clifford,5366,5370,York,york
qd,vmw8.0,5628,5966,könig_heinrich,5747,5753,Exeter,exeter
qd,vmw8.0,5628,5966,könig_heinrich,5877,5881,York,york
qd,vmw8.0,5628,5966,könig_heinrich,5929,5932,mir,könig_heinrich
qd,vmw8.0,5628,5966,könig_heinrich,5944,5947,Ich,könig_heinrich
qd,vmw8.0,5972,6008,york,5993,5996,ich,york
qd,vmw8.0,6013,6066,exeter,6061,6065,York,york
qd,vmw8.0,6071,6123,york,6084,6088,mein,york
qd,vmw8.0,6128,6173,exeter,6141,6146,Vater,vater
qd,vmw8.0,6178,6264,warwick,6188,6194,Exeter,exeter
qd,vmw8.0,6328,6380,warwick,6341,6349,Clifford,clifford
qd,vmw8.0,6328,6380,warwick,6359,6366,Richard,richard
qd,vmw8.0,6328,6380,warwick,6375,6379,York,york
qd,vmw8.0,6385,6449,könig_heinrich,6410,6413,ich,könig_heinrich
qd,vmw8.0,6567,6669,westmoreland,6646,6658,Westmoreland,westmoreland
qd,vmw8.0,6675,6865,warwick,6689,6696,Warwick,warwick
qd,vmw8.0,6871,6980,northumberland,6892,6899,Warwick,warwick
qd,vmw8.0,6871,6980,northumberland,6901,6904,mir,northumberland
qd,vmw8.0,6871,6980,northumberland,6922,6925,ich,northumberland
qd,vmw8.0,6871,6980,northumberland,6948,6954,meiner,northumberland
qd,vmw8.0,6986,7130,westmoreland,7014,7017,ich,westmoreland
qd,vmw8.0,6986,7130,westmoreland,7105,7109,mein,westmoreland
qd,vmw8.0,6986,7130,westmoreland,7110,7115,Vater,vater
qd,vmw8.0,7136,7276,clifford,7168,7175,Warwick,warwick
qd,vmw8.0,7136,7276,clifford,7181,7184,ich,clifford
qd,vmw8.0,7136,7276,clifford,7254,7257,ich,clifford
qd,vmw8.0,7136,7276,clifford,7258,7262,mich,clifford
qd,vmw8.0,7282,7335,warwick,7295,7298,ich,warwick
qd,vmw8.0,7442,7714,könig_heinrich,7506,7511,Vater,vater
qd,vmw8.0,7442,7714,könig_heinrich,7536,7540,York,york
qd,vmw8.0,7442,7714,könig_heinrich,7592,7595,Ich,könig_heinrich
qd,vmw8.0,7442,7714,könig_heinrich,7604,7608,Sohn,sohn
qd,vmw8.0,7784,7887,könig_heinrich,7837,7840,ich,könig_heinrich
qd,vmw8.0,7784,7887,könig_heinrich,7843,7846,Ich,könig_heinrich
qd,vmw8.0,7784,7887,könig_heinrich,7875,7879,mich,könig_heinrich
qd,vmw8.0,7893,8004,richard,7964,7969,Vater,vater
qd,vmw8.0,8010,8065,eduard,8032,8037,Vater,vater
qd,vmw8.0,8080,8088,_stage,8083,8087,York,york
qd,vmw8.0,8070,8177,montague,8091,8095,Mein,montague
qd,vmw8.0,8480,8808,könig_heinrich,8508,8511,ich,könig_heinrich
qd,vmw8.0,8480,8808,könig_heinrich,8518,8524,meinen,könig_heinrich
qd,vmw8.0,8480,8808,könig_heinrich,8547,8551,mein,könig_heinrich
qd,vmw8.0,8480,8808,könig_heinrich,8552,8557,Vater,vater
qd,vmw8.0,8480,8808,könig_heinrich,8615,8619,mein,könig_heinrich
qd,vmw8.0,8480,8808,könig_heinrich,8715,8719,Mein,könig_heinrich
qd,vmw8.0,8480,8808,könig_heinrich,8764,8768,Mein,könig_heinrich
qd,vmw8.0,8979,9088,könig_heinrich,9005,9008,ich,könig_heinrich
qd,vmw8.0,8979,9088,könig_heinrich,9022,9026,Mein,könig_heinrich
qd,vmw8.0,9116,9308,könig_heinrich,9155,9158,ich,könig_heinrich
qd,vmw8.0,9116,9308,könig_heinrich,9185,9192,Richard,richard
qd,vmw8.0,9116,9308,könig_heinrich,9281,9285,mein,könig_heinrich
qd,vmw8.0,9116,9308,könig_heinrich,9286,9291,Vater,vater
qd,vmw8.0,9116,9308,könig_heinrich,9297,9300,ich,könig_heinrich
qd,vmw8.0,9605,9655,könig_heinrich,9632,9638,Exeter,exeter
qd,vmw8.0,9660,9708,exeter,9704,9707,mir,exeter
qd,vmw8.0,9771,9822,exeter,9808,9812,mein,exeter
qd,vmw8.0,9827,9879,könig_heinrich,9868,9871,mir,könig_heinrich
qd,vmw8.0,10058,10248,northumberland,10131,10138,Norfolk,norfolk
qd,vmw8.0,10058,10248,northumberland,10210,10213,mir,northumberland
qd,vmw8.0,10254,10454,clifford,10320,10328,Clifford,clifford
qd,vmw8.0,10254,10454,clifford,10396,10400,mich,clifford
qd,vmw8.0,10254,10454,clifford,10419,10422,ich,clifford
qd,vmw8.0,10254,10454,clifford,10427,10433,meines,clifford
qd,vmw8.0,10460,10519,könig_heinrich,10478,10486,Clifford,clifford
qd,vmw8.0,10460,10519,könig_heinrich,10502,10506,mein,könig_heinrich
qd,vmw8.0,10627,10861,warwick,10661,10665,York,york
qd,vmw8.0,10627,10861,warwick,10691,10694,ich,warwick
qd,vmw8.0,10627,10861,warwick,10774,10777,ich,warwick
qd,vmw8.0,10867,10972,könig_heinrich,10895,10902,Warwick,warwick
qd,vmw8.0,10867,10972,könig_heinrich,10947,10951,mich,könig_heinrich
qd,vmw8.0,10978,11073,york,10995,10998,mir,york
qd,vmw8.0,10978,11073,york,11013,11019,meinen,york
qd,vmw8.0,11079,11178,könig_heinrich,11096,11099,Ich,könig_heinrich
qd,vmw8.0,11079,11178,könig_heinrich,11113,11120,Richard,richard
qd,vmw8.0,11079,11178,könig_heinrich,11140,11146,meinem,könig_heinrich
qd,vmw8.0,11184,11235,clifford,11230,11234,Sohn,sohn
qd,vmw8.0,11414,11470,westmoreland,11428,11431,Ich,westmoreland
qd,vmw8.0,11475,11500,northumberland,11496,11499,ich,northumberland
qd,vmw8.0,11664,11759,northumberland,11711,11715,York,york
qd,vmw8.0,11865,11910,_stage,11865,11879,Northumberland,northumberland
qd,vmw8.0,11865,11910,_stage,11881,11889,Clifford,clifford
qd,vmw8.0,11865,11910,_stage,11894,11906,Westmoreland,westmoreland
qd,vmw8.0,12034,12062,könig_heinrich,12055,12061,Exeter,exeter
qd,vmw8.0,12067,12106,warwick,12095,12099,mein,warwick
qd,vmw8.0,12111,12520,könig_heinrich,12137,12141,mich,könig_heinrich
qd,vmw8.0,12111,12520,könig_heinrich,12153,12159,meinen,könig_heinrich
qd,vmw8.0,12111,12520,könig_heinrich,12160,12164,Sohn,sohn
qd,vmw8.0,12111,12520,könig_heinrich,12171,12178,Warwick,warwick
qd,vmw8.0,12111,12520,könig_heinrich,12197,12200,ich,könig_heinrich
qd,vmw8.0,12111,12520,könig_heinrich,12259,12262,ich,könig_heinrich
