corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v3rv.0,603,634,_Stage,_Stage,Wirtsstube,NN,wirtsstube,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,»,XY,»,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,Zum,APPRART,zu,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,grünen,ADJA,grün,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,Kakadu,NN,kakadu,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,«,PTKVZ,«,14881,,
qd,v3rv.0,603,634,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Ein,ART,ein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,nicht,PTKNEG,nicht,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,großer,ADJA,groß,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Kellerraum,NN,kellerraum,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,zu,APPR,zu,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,welchem,PWAT,welcher,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,rechts,ADV,rechts,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,–,XY,–,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,ziemlich,ADV,ziemlich,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,weit,ADJD,weit,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,hintensieben,ADJA,hinnseiben,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Stufen,NN,stufe,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,führen,VVINF,führen,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,die,PRELS,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,nach,APPR,nach,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,oben,ADV,oben,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,durch,APPR,durch,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,eine,ART,ein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Tür,NN,tür,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,abgeschlossen,VVPP,abschließen,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,sind,VAFIN,sein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Eine,ART,ein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,zweite,ADJA,zweiter,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Tür,NN,tür,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,welche,PWAT,welcher,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,kaum,ADV,kaum,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,sichtbar,ADJD,sichtbar,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,ist,VAFIN,sein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,befindet,VVFIN,befinden,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,sich,PRF,sich,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,im,APPRART,in,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Hintergrunde,NN,hintergrunde,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,links,ADV,links,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Eine,ART,ein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Anzahl,NN,anzahl,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,von,APPR,von,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,einfachen,ADJA,einfach,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,hölzernen,ADJA,hölzern,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Tischen,NN,tische,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,um,KOUI,um,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,diese,PDAT,dieser,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Sessel,NN,sessel,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,füllen,VVFIN,füllen,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,beinahe,ADV,beinahe,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,den,ART,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,ganzen,ADJA,ganz,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Raum,NN,raum,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,aus,PTKVZ,aus,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Links,NE,links,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,in,APPR,in,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,der,ART,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Mitte,NN,mitte,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,der,ART,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Schanktisch,NN,schanktisch,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,;,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,hinter,APPR,hinter,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,demselben,PDAT,derselbe,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,eine,ART,ein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Anzahl,NN,anzahl,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Fässer,NN,Faß,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,mit,APPR,mit,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Pipen,NN,pipe,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Das,ART,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Zimmer,NN,zimmer,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,ist,VAFIN,sein,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,durch,APPR,durch,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Öllämpchen,NN,öllämpchen,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,beleuchtet,VVPP,beleuchten,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,",","$,",--,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,die,PRELS,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,von,APPR,von,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,der,ART,der,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,Decke,NN,decke,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,herabhängen,VVIZU,herabhängen,14881,,
qd,v3rv.0,637,1112,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,Der,ART,der,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,Wirt,NN,wirt,14881,,(1)
qd,v3rv.0,1115,1178,_Stage,_Stage,Prospere,VVFIN,prospere,14881,,(3)
qd,v3rv.0,1115,1178,_Stage,_Stage,;,$.,--,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,es,PPER,es,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,treten,VVFIN,treten,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,ein,ART,ein,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,die,ART,der,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,Bürger,NN,bürger,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,Lebret,ADJD,lebret,14881,,(2)
qd,v3rv.0,1115,1178,_Stage,_Stage,und,KON,und,14881,,
qd,v3rv.0,1115,1178,_Stage,_Stage,Grasset,NE,grasset,14881,,(0)
qd,v3rv.0,1115,1178,_Stage,_Stage,.,$.,--,14881,,
qd,v3rv.0,1190,1210,GRASSET,grasset,noch,ADV,noch,14881,,
qd,v3rv.0,1190,1210,GRASSET,grasset,auf,APPR,auf,14881,,
qd,v3rv.0,1190,1210,GRASSET,grasset,den,ART,der,14881,,
qd,v3rv.0,1190,1210,GRASSET,grasset,Stufen,NN,stufe,14881,,
qd,v3rv.0,1190,1210,GRASSET,grasset,.,$.,--,14881,,
qd,v3rv.0,2202,2209,PROSPERE,prospere,zögert,VVFIN,zögern,14881,,
qd,v3rv.0,2202,2209,PROSPERE,prospere,.,$.,--,14881,,
qd,v3rv.0,2277,2308,LEBRET,lebret,zieht,VVFIN,ziehen,14881,,
qd,v3rv.0,2277,2308,LEBRET,lebret,seinen,PPOSAT,sein,14881,,
qd,v3rv.0,2277,2308,LEBRET,lebret,Geldbeutel,NN,geldbeutel,14881,,
qd,v3rv.0,2277,2308,LEBRET,lebret,heraus,PTKVZ,heraus,14881,,
qd,v3rv.0,2277,2308,LEBRET,lebret,.,$.,--,14881,,
qd,v3rv.0,4738,4762,LEBRET,lebret,der,ART,der,14881,,
qd,v3rv.0,4738,4762,LEBRET,lebret,immer,ADV,immer,14881,,
qd,v3rv.0,4738,4762,LEBRET,lebret,getrunken,VVPP,trinken,14881,,
qd,v3rv.0,4738,4762,LEBRET,lebret,hat,VAFIN,haben,14881,,
qd,v3rv.0,4738,4762,LEBRET,lebret,.,$.,--,14881,,
qd,v3rv.0,7711,7718,GRASSET,grasset,leicht,ADJD,leichen,14881,,
qd,v3rv.0,7711,7718,GRASSET,grasset,.,$.,--,14881,,
qd,v3rv.0,7951,7965,GRASSET,grasset,geschmeichelt,VVPP,gesmeicheln,14881,,
qd,v3rv.0,7951,7965,GRASSET,grasset,.,$.,--,14881,,
