corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,nkdq.0,6811,7258,miranda,6937,6943,meiner,miranda
qd,nkdq.0,6811,7258,miranda,6965,6970,meine,miranda
qd,nkdq.0,6811,7258,miranda,7077,7082,Meine,miranda
qd,nkdq.0,6811,7258,miranda,7121,7125,mein,miranda
qd,nkdq.0,6811,7258,miranda,7203,7209,meiner,miranda
qd,nkdq.0,7413,7748,miranda,7519,7522,Ich,miranda
qd,nkdq.0,7413,7748,miranda,7575,7578,mir,miranda
qd,nkdq.0,7413,7748,miranda,7587,7590,Ich,miranda
qd,nkdq.0,7413,7748,miranda,7596,7601,meine,miranda
qd,nkdq.0,7413,7748,miranda,7621,7624,Ich,miranda
qd,nkdq.0,7413,7748,miranda,7658,7662,mich,miranda
qd,nkdq.0,7413,7748,miranda,7718,7721,mir,miranda
qd,nkdq.0,7800,7818,_stage,7800,7808,Prospero,prospero
qd,nkdq.0,7800,7818,_stage,7810,7817,Miranda,miranda
qd,nkdq.0,7821,7910,miranda,7858,7861,ich,miranda
qd,nkdq.0,7972,8031,miranda,7997,8003,meinen,miranda
qd,nkdq.0,8036,8105,prospero,8083,8086,ich,prospero
qd,nkdq.0,8160,8242,prospero,8209,8212,ich,prospero
qd,nkdq.0,8247,8318,miranda,8273,8276,mir,miranda
qd,nkdq.0,8324,8353,prospero,8345,8352,Miranda,miranda
qd,nkdq.0,8358,8622,miranda,8368,8371,Ich,miranda
qd,nkdq.0,8358,8622,miranda,8423,8426,ich,miranda
qd,nkdq.0,8772,8907,prospero,8868,8871,Ich,prospero
qd,nkdq.0,9293,9435,prospero,9312,9315,mir,prospero
qd,nkdq.0,9440,9483,miranda,9450,9453,Ich,miranda
qd,nkdq.0,9440,9483,miranda,9470,9475,meine,miranda
qd,nkdq.0,9488,9691,prospero,9639,9645,meinen,prospero
qd,nkdq.0,9697,10335,miranda,9754,9757,mir,miranda
qd,nkdq.0,9697,10335,miranda,9763,9766,ich,miranda
qd,nkdq.0,9697,10335,miranda,9809,9813,Mein,miranda
qd,nkdq.0,9697,10335,miranda,9840,9844,mich,miranda
qd,nkdq.0,9697,10335,miranda,10006,10009,mir,miranda
qd,nkdq.0,9697,10335,miranda,10040,10043,Mir,miranda
qd,nkdq.0,9697,10335,miranda,10113,10117,Chor,chor
qd,nkdq.0,9697,10335,miranda,10176,10180,mein,miranda
qd,nkdq.0,9697,10335,miranda,10245,10249,mich,miranda
