corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qdmw.0,241,1050,_Stage,_Stage,Es,PPER,es,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,treten,VVFIN,treten,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,vor,APPR,vor,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,den,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,noch,ADV,noch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,herabgelassenen,ADJA,herabgelassen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Vorhang,NN,vorhang,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,(0
qd,qdmw.0,241,1050,_Stage,_Stage,Dichter,NN,dichter,9838,,0)
qd,qdmw.0,241,1050,_Stage,_Stage,und,KON,und,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sein,PPOSAT,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Freund,NN,freund,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,:,$.,--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Der,ART,der,9838,,(0
qd,qdmw.0,241,1050,_Stage,_Stage,Dichter,NN,dichter,9838,,0)
qd,qdmw.0,241,1050,_Stage,_Stage,trägt,VVFIN,tragen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,gleich,ADV,gleich,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,den,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Personen,NN,person,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,seines,PPOSAT,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Trauerspiels,NN,trauerspiel,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,die,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,florentinische,ADJA,florentinisch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Kleidung,NN,kleidung,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,des,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,fünfzehnten,ADJA,fünfzehnt,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Jahrhunderts,NN,jahrhundert,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,völlig,ADJD,völlig,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,schwarz,ADJD,schwarz,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,mit,APPR,mit,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Degen,NN,degen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,und,KON,und,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Dolch,NN,dolch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,in,APPR,in,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Hand,NN,hand,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,hält,VVFIN,halten,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,er,PPER,er,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,den,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Hut,NN,hut,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,aus,APPR,aus,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,schwarzem,ADJA,schwarz,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Tuch,NN,tuch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,mit,APPR,mit,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Pelz,NE,pelz,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,verbrämt,VVPP,verbrämen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,;,$.,--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sein,PPOSAT,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Freund,NN,freund,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,ist,VAFIN,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sehr,ADV,sehr,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,jung,ADJD,jung,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,hoch,ADJD,hoch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,gewachsen,VVPP,gewachsen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,und,KON,und,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,mit,APPR,mit,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,hellem,ADJA,hell,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Haar,NN,haar,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,er,PPER,er,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,trägt,VVFIN,tragen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,die,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,venezianische,ADJA,venezianisch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Kleidung,NN,kleidung,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,gleichen,ADJA,gleich,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Zeit,NN,zeit,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,als,APPR,als,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,einzige,ADJA,einzig,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Waffe,NN,waffe,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,einen,ART,ein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,kleinen,ADJA,klein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,vergoldeten,ADJA,vergolden,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Dolch,NN,dolch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,rückwärts,ADV,rückwärts,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,über,APPR,über,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Hüfte,NN,hüfte,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,am,APPRART,an,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Kopf,NN,kopf,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,eine,ART,ein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,kleine,ADJA,klein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,smaragdgrüne,ADJA,smaragdgrün,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Haube,NN,haube,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,mit,APPR,mit,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,einer,ART,ein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,weißen,ADJA,weiß,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Straußenfeder,NN,straußenfeder,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,;,$.,--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sie,PPER,sie,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,gehen,VVFIN,gehen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,langsam,ADJD,langsam,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,längs,ADV,längs,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,des,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Vorhanges,NN,vorhang,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,schließlich,ADV,schließlich,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,mag,VMFIN,mögen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sich,PRF,sich,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,auch,ADV,auch,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,(0
qd,qdmw.0,241,1050,_Stage,_Stage,Dichter,NN,dichter,9838,,0)
qd,qdmw.0,241,1050,_Stage,_Stage,auf,APPR,auf,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,einer,ART,ein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,kleinen,ADJA,klein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,im,APPRART,in,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Proszenium,NN,proszenium,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,vergessenen,ADJA,vergessen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Bank,NN,bank,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,niederlassen,VVIZU,niederlassen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,sein,PPOSAT,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Freund,NN,freund,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,zuhörend,ADJD,zuhörend,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,vor,APPR,vor,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,ihm,PPER,ihm,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,stehenbleiben,VVFIN,stehenbleiben,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,.,$.,--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Ihr,PPOSAT,ihr,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Abgang,NN,abgang,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,ist,VAFIN,sein,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,ehe,KOUS,ehe,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,der,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Vorhang,NN,vorhang,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,aufgeht,VVFIN,aufgehen,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,in,APPR,in,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,die,ART,der,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,vorderste,ADJA,vorder,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,Kulisse,NN,kulisse,9838,,
qd,qdmw.0,241,1050,_Stage,_Stage,.,$.,--,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Die,ART,der,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Gartenseite,NN,gartenseite,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,eines,ART,ein,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,ernsten,ADJA,ernst,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,lombardischen,ADJA,lombardisch,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Palastes,NN,palast,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,.,$.,--,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Rechts,ADV,rechts,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,die,ART,der,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Wand,NN,wand,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,des,ART,der,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,Hauses,NN,haus,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,",","$,",--,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,welche,PWAT,welcher,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,einen,ART,ein,9838,,
qd,qdmw.0,20891,22125,_Stage,_Stage,stumpfen,ADJA,stumpf,9838,,
