corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,qdnz.0,1018,1988,gott_der_herr,1121,1125,alle,alle
qd,qdnz.0,1018,1988,gott_der_herr,1140,1144,mich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1205,1208,mir,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1343,1347,mich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1362,1366,Gott,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1457,1460,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1465,1468,mir,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1530,1533,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1564,1567,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1576,1580,mein,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1640,1643,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1715,1721,meinem,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1760,1763,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1778,1781,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1809,1815,meiner,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1845,1848,ich,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1898,1907,Jedermann,jedermann
qd,qdnz.0,1018,1988,gott_der_herr,1946,1949,Tod,tod
qd,qdnz.0,1018,1988,gott_der_herr,1951,1955,mein,gott_der_herr
qd,qdnz.0,1018,1988,gott_der_herr,1979,1983,mich,gott_der_herr
qd,qdnz.0,1994,2080,tod,2013,2017,Gott,gott_der_herr
qd,qdnz.0,1994,2080,tod,2029,2033,mich,tod
qd,qdnz.0,1994,2080,tod,2066,2069,ich,tod
qd,qdnz.0,2086,2339,gott_der_herr,2103,2112,Jedermann,jedermann
qd,qdnz.0,2086,2339,gott_der_herr,2125,2131,meinem,gott_der_herr
qd,qdnz.0,2345,2724,tod,2357,2360,ich,tod
qd,qdnz.0,2345,2724,tod,2548,2551,ich,tod
qd,qdnz.0,2741,2793,_stage,2775,2781,Knecht,knecht
qd,qdnz.0,2730,3353,jedermann,2809,2815,meinen,jedermann
qd,qdnz.0,2730,3353,jedermann,2816,2824,Hausvogt,hausvogt
qd,qdnz.0,2869,2892,_stage,2873,2879,Knecht,knecht
qd,qdnz.0,2730,3353,jedermann,2895,2899,Mein,jedermann
qd,qdnz.0,2730,3353,jedermann,3237,3240,ich,jedermann
qd,qdnz.0,2730,3353,jedermann,3268,3271,ich,jedermann
qd,qdnz.0,2730,3353,jedermann,3272,3275,mir,jedermann
qd,qdnz.0,3334,3353,_stage,3334,3342,Hausvogt,hausvogt
qd,qdnz.0,3358,3727,jedermann,3419,3422,ich,jedermann
qd,qdnz.0,3358,3727,jedermann,3466,3469,ich,jedermann
qd,qdnz.0,3358,3727,jedermann,3657,3661,Koch,koch
qd,qdnz.0,3703,3727,_stage,3703,3707,Koch,koch
qd,qdnz.0,3732,3792,jedermann,3773,3776,ich,jedermann
qd,qdnz.0,3798,3861,koch,3818,3821,ich,koch
qd,qdnz.0,3867,3951,jedermann,3938,3944,meinen,jedermann
qd,qdnz.0,4039,4190,jedermann,4060,4064,Koch,koch
qd,qdnz.0,4039,4190,jedermann,4090,4093,ich,jedermann
qd,qdnz.0,4125,4142,_stage,4129,4133,Koch,koch
qd,qdnz.0,4195,4446,jedermann,4238,4243,meine,jedermann
qd,qdnz.0,4195,4446,jedermann,4253,4259,Knecht,knecht
qd,qdnz.0,4195,4446,jedermann,4271,4274,mir,jedermann
qd,qdnz.0,4462,4475,_stage,4466,4474,Hausvogt,hausvogt
qd,qdnz.0,4451,4583,jedermann,4544,4548,mein,jedermann
qd,qdnz.0,4451,4583,jedermann,4549,4555,Gesell,gesell
qd,qdnz.0,4560,4583,_stage,4560,4568,Hausvogt,hausvogt
qd,qdnz.0,4931,5092,armer_nachbar,5005,5008,ich,armer_nachbar
qd,qdnz.0,4931,5092,armer_nachbar,5043,5049,meiner,armer_nachbar
qd,qdnz.0,5106,5119,_stage,5109,5118,Jedermann,jedermann
qd,qdnz.0,5203,5275,armer_nachbar,5247,5256,Jedermann,jedermann
qd,qdnz.0,5203,5275,armer_nachbar,5270,5274,mein,armer_nachbar
qd,qdnz.0,5322,5353,jedermann,5333,5336,Ich,jedermann
qd,qdnz.0,5358,5525,armer_nachbar,5378,5387,Jedermann,jedermann
qd,qdnz.0,5358,5525,armer_nachbar,5400,5403,ich,armer_nachbar
qd,qdnz.0,5358,5525,armer_nachbar,5500,5503,ich,armer_nachbar
qd,qdnz.0,5655,5715,jedermann,5696,5700,mich,jedermann
qd,qdnz.0,5720,5829,armer_nachbar,5765,5769,mein,armer_nachbar
qd,qdnz.0,5720,5829,armer_nachbar,5802,5805,ich,armer_nachbar
qd,qdnz.0,5857,5938,armer_nachbar,5888,5891,ich,armer_nachbar
qd,qdnz.0,5857,5938,armer_nachbar,5934,5937,mir,armer_nachbar
qd,qdnz.0,6255,6347,jedermann,6289,6293,mein,jedermann
qd,qdnz.0,6255,6347,jedermann,6313,6317,Mein,jedermann
qd,qdnz.0,6353,6393,gesell,6361,6364,Ich,gesell
qd,qdnz.0,6353,6393,gesell,6369,6373,mich,gesell
qd,qdnz.0,6398,6703,jedermann,6463,6466,ich,jedermann
qd,qdnz.0,6398,6703,jedermann,6548,6552,mein,jedermann
qd,qdnz.0,6398,6703,jedermann,6628,6631,Ich,jedermann
qd,qdnz.0,6709,6905,armer_nachbar,6881,6884,mir,armer_nachbar
qd,qdnz.0,6911,8221,jedermann,6996,7000,Mein,jedermann
qd,qdnz.0,6911,8221,jedermann,7014,7018,mich,jedermann
qd,qdnz.0,6911,8221,jedermann,7043,7046,Tod,tod
qd,qdnz.0,6911,8221,jedermann,7051,7057,Teufel,teufel
qd,qdnz.0,6911,8221,jedermann,7120,7123,ich,jedermann
qd,qdnz.0,6911,8221,jedermann,7134,7137,mir,jedermann
qd,qdnz.0,6911,8221,jedermann,7169,7173,mich,jedermann
qd,qdnz.0,6911,8221,jedermann,7174,7179,meine,jedermann
qd,qdnz.0,6911,8221,jedermann,7955,7959,mein,jedermann
qd,qdnz.0,6911,8221,jedermann,8055,8059,mein,jedermann
qd,qdnz.0,8226,8310,gesell,8283,8287,Gott,gott_der_herr
qd,qdnz.0,8369,8463,_stage,8369,8381,Schuldknecht,schuldknecht
qd,qdnz.0,8468,8840,gesell,8580,8584,Mich,gesell
qd,qdnz.0,9030,9116,jedermann,9062,9068,meinen,jedermann
qd,qdnz.0,9030,9116,jedermann,9097,9101,mich,jedermann
qd,qdnz.0,9122,9174,schuldknecht,9157,9160,ich,schuldknecht
qd,qdnz.0,9122,9174,schuldknecht,9161,9165,mich,schuldknecht
qd,qdnz.0,9179,9264,jedermann,9208,9211,mir,jedermann
qd,qdnz.0,9179,9264,jedermann,9254,9257,ich,jedermann
qd,qdnz.0,9270,9321,schuldknecht,9310,9315,meine,schuldknecht
qd,qdnz.0,9401,9447,jedermann,9412,9415,Ich,jedermann
qd,qdnz.0,9452,9504,schuldknecht,9493,9497,mich,schuldknecht
qd,qdnz.0,9509,9590,jedermann,9529,9532,mir,jedermann
qd,qdnz.0,9509,9590,jedermann,9546,9549,ich,jedermann
qd,qdnz.0,9596,9691,schuldknecht,9662,9666,mich,schuldknecht
qd,qdnz.0,9697,9746,jedermann,9712,9718,meinem,jedermann
qd,qdnz.0,9697,9746,jedermann,9738,9742,mich,jedermann
qd,qdnz.0,9751,9938,schuldknecht,9788,9797,Jedermann,jedermann
qd,qdnz.0,9751,9938,schuldknecht,9847,9851,mich,schuldknecht
qd,qdnz.0,9751,9938,schuldknecht,9867,9870,ich,schuldknecht
qd,qdnz.0,9944,10046,jedermann,9976,9979,Ich,jedermann
qd,qdnz.0,9944,10046,jedermann,9998,10003,meine,jedermann
qd,qdnz.0,10052,10266,schuldknecht,10116,10119,mir,schuldknecht
qd,qdnz.0,10272,10491,jedermann,10356,10360,Mein,jedermann
qd,qdnz.0,10272,10491,jedermann,10388,10391,mir,jedermann
qd,qdnz.0,10497,10697,schuldknecht,10533,10539,meiner,schuldknecht
qd,qdnz.0,10703,11090,schuldknechts_weib,10806,10812,meinen,schuldknechts_weib
qd,qdnz.0,11787,12105,jedermann,11851,11854,ich,jedermann
qd,qdnz.0,12111,12262,schuldknecht,12130,12136,meinen,schuldknecht
qd,qdnz.0,12111,12262,schuldknecht,12148,12151,ich,schuldknecht
qd,qdnz.0,12111,12262,schuldknecht,12165,12168,ich,schuldknecht
qd,qdnz.0,12111,12262,schuldknecht,12179,12185,meinem,schuldknecht
qd,qdnz.0,12111,12262,schuldknecht,12232,12237,meine,schuldknecht
qd,qdnz.0,12352,13250,jedermann,12387,12390,mir,jedermann
qd,qdnz.0,12352,13250,jedermann,12944,12950,Knecht,knecht
qd,qdnz.0,12352,13250,jedermann,12997,13001,alle,alle
qd,qdnz.0,12352,13250,jedermann,13133,13136,ich,jedermann
qd,qdnz.0,12352,13250,jedermann,13228,13231,ich,jedermann
qd,qdnz.0,13413,13498,jedermann,13425,13428,Ich,jedermann
qd,qdnz.0,13413,13498,jedermann,13476,13479,ich,jedermann
qd,qdnz.0,13504,13714,schuldknecht,13596,13602,Mammon,mammon
qd,qdnz.0,13504,13714,schuldknecht,13607,13611,mich,schuldknecht
qd,qdnz.0,13504,13714,schuldknecht,13636,13639,ich,schuldknecht
qd,qdnz.0,13504,13714,schuldknecht,13640,13644,mich,schuldknecht
qd,qdnz.0,13719,13833,schuldknechts_weib,13790,13793,ich,schuldknechts_weib
qd,qdnz.0,13719,13833,schuldknechts_weib,13810,13814,mein,schuldknechts_weib
qd,qdnz.0,13838,15433,jedermann,13998,14001,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,14082,14085,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,14098,14102,Mein,jedermann
qd,qdnz.0,13838,15433,jedermann,14103,14111,Hausvogt,hausvogt
qd,qdnz.0,13838,15433,jedermann,14117,14120,mir,jedermann
qd,qdnz.0,13838,15433,jedermann,14178,14181,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,14472,14475,Ich,jedermann
qd,qdnz.0,13838,15433,jedermann,14496,14499,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,14516,14520,mich,jedermann
qd,qdnz.0,13838,15433,jedermann,15015,15021,Teufel,teufel
qd,qdnz.0,13838,15433,jedermann,15045,15048,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,15072,15075,mir,jedermann
qd,qdnz.0,13838,15433,jedermann,15108,15111,ich,jedermann
qd,qdnz.0,13838,15433,jedermann,15179,15182,mir,jedermann
qd,qdnz.0,13838,15433,jedermann,15193,15197,mein,jedermann
qd,qdnz.0,13838,15433,jedermann,15204,15210,Gesell,gesell
qd,qdnz.0,13838,15433,jedermann,15310,15313,mir,jedermann
qd,qdnz.0,13838,15433,jedermann,15381,15386,meine,jedermann
qd,qdnz.0,15439,15561,gesell,15456,15459,ich,gesell
qd,qdnz.0,15439,15561,gesell,15488,15491,Ich,gesell
qd,qdnz.0,15567,15947,jedermann,15605,15611,Gesell,gesell
qd,qdnz.0,15567,15947,jedermann,15614,15618,Mich,jedermann
qd,qdnz.0,15567,15947,jedermann,15632,15635,ich,jedermann
qd,qdnz.0,15567,15947,jedermann,15708,15711,mir,jedermann
qd,qdnz.0,15567,15947,jedermann,15712,15717,meine,jedermann
qd,qdnz.0,15567,15947,jedermann,15781,15784,mir,jedermann
qd,qdnz.0,15567,15947,jedermann,15810,15813,ich,jedermann
qd,qdnz.0,15567,15947,jedermann,15841,15844,ich,jedermann
qd,qdnz.0,15567,15947,jedermann,15876,15879,ich,jedermann
qd,qdnz.0,15567,15947,jedermann,15920,15925,meine,jedermann
qd,qdnz.0,16002,16801,jedermann,16025,16028,ich,jedermann
qd,qdnz.0,16002,16801,jedermann,16097,16100,ich,jedermann
qd,qdnz.0,16002,16801,jedermann,16112,16118,meinem,jedermann
qd,qdnz.0,16002,16801,jedermann,16280,16283,ich,jedermann
qd,qdnz.0,16002,16801,jedermann,16452,16455,ich,jedermann
qd,qdnz.0,16002,16801,jedermann,16733,16736,ich,jedermann
qd,qdnz.0,16904,17249,jedermann,16925,16928,ich,jedermann
qd,qdnz.0,16904,17249,jedermann,16929,16935,meiner,jedermann
qd,qdnz.0,16904,17249,jedermann,17119,17123,mich,jedermann
qd,qdnz.0,16904,17249,jedermann,17161,17165,mich,jedermann
qd,qdnz.0,17255,17339,gesell,17271,17274,ich,gesell
qd,qdnz.0,17345,17500,jedermann,17363,17367,mich,jedermann
qd,qdnz.0,17345,17500,jedermann,17443,17446,mir,jedermann
qd,qdnz.0,17345,17500,jedermann,17475,17478,ich,jedermann
qd,qdnz.0,17345,17500,jedermann,17479,17485,meinen,jedermann
qd,qdnz.0,17506,17666,jedermanns_mutter,17536,17540,mein,jedermanns_mutter
qd,qdnz.0,17506,17666,jedermanns_mutter,17551,17554,ich,jedermanns_mutter
qd,qdnz.0,17506,17666,jedermanns_mutter,17576,17579,mir,jedermanns_mutter
qd,qdnz.0,17506,17666,jedermanns_mutter,17648,17652,mich,jedermanns_mutter
qd,qdnz.0,17941,18038,jedermanns_mutter,18004,18007,ich,jedermanns_mutter
qd,qdnz.0,18044,18132,jedermann,18060,18063,mir,jedermann
qd,qdnz.0,18138,18804,jedermanns_mutter,18161,18166,meine,jedermanns_mutter
qd,qdnz.0,18138,18804,jedermanns_mutter,18198,18201,Ich,jedermanns_mutter
qd,qdnz.0,18138,18804,jedermanns_mutter,18231,18234,Mir,jedermanns_mutter
qd,qdnz.0,18138,18804,jedermanns_mutter,18248,18252,mein,jedermanns_mutter
qd,qdnz.0,18138,18804,jedermanns_mutter,18329,18333,mein,jedermanns_mutter
