corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,k8cn.0,630,40262,0,644,1302,0
qd,k8cn.0,630,40262,0,1315,4231,0
qd,k8cn.0,630,40262,0,4245,6852,0
qd,k8cn.0,630,40262,0,6865,7932,0
qd,k8cn.0,630,40262,0,7946,10224,0
qd,k8cn.0,630,40262,0,10239,11258,0
qd,k8cn.0,630,40262,0,11271,13834,0
qd,k8cn.0,630,40262,0,13847,17973,0
qd,k8cn.0,630,40262,0,17986,21247,0
qd,k8cn.0,630,40262,0,21261,23758,0
qd,k8cn.0,630,40262,0,23772,24409,0
qd,k8cn.0,630,40262,0,24422,26880,0
qd,k8cn.0,630,40262,0,26893,29367,0
qd,k8cn.0,630,40262,0,29380,30587,0
qd,k8cn.0,630,40262,0,30601,33328,0
qd,k8cn.0,630,40262,0,33342,40262,0
qd,k8cn.0,40275,63533,0,40289,42250,0
qd,k8cn.0,40275,63533,0,42263,42976,0
qd,k8cn.0,40275,63533,0,42989,46485,0
qd,k8cn.0,40275,63533,0,46499,49392,0
qd,k8cn.0,40275,63533,0,49406,50902,0
qd,k8cn.0,40275,63533,0,50916,51533,0
qd,k8cn.0,40275,63533,0,51547,52492,0
qd,k8cn.0,40275,63533,0,52506,53235,0
qd,k8cn.0,40275,63533,0,53249,54024,0
qd,k8cn.0,40275,63533,0,54037,59570,0
qd,k8cn.0,40275,63533,0,59584,63533,0
qd,k8cn.0,63546,105331,0,63560,65631,0
qd,k8cn.0,63546,105331,0,65645,67522,0
qd,k8cn.0,63546,105331,0,67536,68532,0
qd,k8cn.0,63546,105331,0,68545,68935,0
qd,k8cn.0,63546,105331,0,68949,69798,0
qd,k8cn.0,63546,105331,0,69811,71103,0
qd,k8cn.0,63546,105331,0,71116,71948,0
qd,k8cn.0,63546,105331,0,71961,72967,0
qd,k8cn.0,63546,105331,0,72981,74137,0
qd,k8cn.0,63546,105331,0,74152,75572,0
qd,k8cn.0,63546,105331,0,75586,81128,0
qd,k8cn.0,63546,105331,0,81142,81886,0
qd,k8cn.0,63546,105331,0,81899,83541,0
qd,k8cn.0,63546,105331,0,83556,84599,0
qd,k8cn.0,63546,105331,0,84614,86232,0
qd,k8cn.0,63546,105331,0,86246,86811,0
qd,k8cn.0,63546,105331,0,86824,87357,0
qd,k8cn.0,63546,105331,0,87371,90946,0
qd,k8cn.0,63546,105331,0,90960,91830,0
qd,k8cn.0,63546,105331,0,91844,93063,0
qd,k8cn.0,63546,105331,0,93076,98705,0
qd,k8cn.0,63546,105331,0,98719,101485,0
qd,k8cn.0,63546,105331,0,101500,105331,0
