corpus,drama,figure_surface,figure_id,Gender,Age
qd,v0d8.0,Bote (I/6),bote_1-6,MALE,
qd,v0d8.0,Don Manuel,don_manuel,MALE,
qd,v0d8.0,Bote (IV/2–3),bote_4-2_und_4-3,MALE,
qd,v0d8.0,Ein Dritter (I/8),ein_dritter_1-8,MALE,
qd,v0d8.0,Einer aus dem Chor (III/5),einer_aus_dem_chor_3-5,MALE,
qd,v0d8.0,Ein Zweiter (III/5),ein_zweiter_3-5,MALE,
qd,v0d8.0,Ein Dritter (III/5),ein_dritter_3-5,MALE,
qd,v0d8.0,Don Cesar,don_cesar,MALE,
qd,v0d8.0,Einer aus dem Chor (I/8),einer_aus_dem_chor_1-8,MALE,
qd,v0d8.0,Isabella,isabella,FEMALE,
qd,v0d8.0,Ein Zweiter (I/3),ein_zweiter_1-3,MALE,
qd,v0d8.0,Ein Zweiter (I/8),ein_zweiter_1-8,MALE,
qd,v0d8.0,Beatrice,beatrice,FEMALE,
qd,v0d8.0,Diego,diego,MALE,
qd,v0d8.0,Einer aus dem Chor (I/3),einer_aus_dem_chor_1-3,MALE,
